         time |     flux | uncertainty
120.529242746 | 401333.0 |     91.5245
120.529923868 | 401288.0 |     91.5119
 120.53060509 | 401426.0 |     91.5345
120.531286212 | 401172.0 |     91.5173
120.531967434 | 401474.0 |     91.5306
120.532648555 | 401465.0 |     91.5475
120.533329677 | 401342.0 |     91.5207
120.534010699 | 401485.0 |     91.5474
120.534691921 | 401244.0 |      91.508
120.535373043 | 401390.0 |     91.5281
120.536054265 | 401257.0 |     91.5102
120.536735387 | 401313.0 |     91.5161
120.537416509 | 401324.0 |      91.515
120.538097731 | 401495.0 |     91.5483
120.538778853 | 401219.0 |     91.5056
120.540141096 | 401337.0 |      91.521
120.540822218 | 401197.0 |     91.5036
 120.54150334 | 401510.0 |     91.5885
120.542184562 | 401122.0 |     91.4903
120.542865684 | 401443.0 |     91.5431
120.543546806 | 401486.0 |     91.5321
120.544228028 | 401251.0 |     91.5097
 120.54490915 | 401266.0 |     91.5104
120.545590172 | 401230.0 |     91.5228
120.546271393 | 401308.0 |     91.5316
120.546952515 | 401202.0 |     91.5075
120.547633637 | 401385.0 |      91.524
120.548314759 | 401370.0 |      91.519
120.548995981 | 401318.0 |     91.5324
120.549677103 | 401282.0 |     91.5122
120.550358225 | 401352.0 |     91.5444
120.551039347 | 401316.0 |     91.5125
120.551720469 | 401312.0 |     91.5311
120.552401591 | 401250.0 |     91.5101
120.553082812 | 401153.0 |     91.5063
120.553763934 | 401295.0 |     91.5122
120.554445056 | 401424.0 |     91.5356
120.555126278 | 401285.0 |     91.5135
  120.5558074 | 401173.0 |     91.5031
120.556488422 | 401288.0 |     91.5124
120.557169544 | 401370.0 |     91.5205
120.557850766 | 401352.0 |     91.5196
120.558531888 | 401437.0 |     91.5266
 120.55921301 | 401262.0 |     91.5104
120.559894231 | 401320.0 |     91.5174
120.560575353 | 401380.0 |      91.522
120.561256575 | 401173.0 |     91.5169
120.561937597 | 401280.0 |     91.5115
120.562618719 | 401414.0 |     91.5259
120.563299841 | 401352.0 |     91.5368
120.563981063 | 401378.0 |     91.5218
120.564662185 | 401199.0 |     91.5046
120.565343407 | 401332.0 |     91.5177
120.566024529 | 401204.0 |     91.5196
 120.56670565 | 401185.0 |     91.5041
120.567386672 | 401170.0 |     91.5029
120.568067894 | 401252.0 |     91.5101
120.568749016 | 401276.0 |     91.5293
120.569430238 | 401392.0 |     91.5227
 120.57011136 | 401284.0 |     91.5127
120.570792482 | 401320.0 |     91.5158
120.571473704 | 401329.0 |     91.5149
120.572154826 | 401299.0 |     91.5131
120.572835847 | 401406.0 |     91.5259
120.573516969 | 401278.0 |     91.5123
120.574198191 | 401472.0 |     91.5309
120.574879313 | 401285.0 |     91.5115
120.575560435 | 401155.0 |     91.5003
120.576241657 | 401425.0 |     91.5418
120.576922779 | 401235.0 |      91.508
120.577603901 | 401353.0 |     91.5207
120.578285023 | 401233.0 |     91.5085
120.578966145 | 401254.0 |     91.5098
120.579647266 | 401251.0 |     91.5089
120.580328488 | 401223.0 |     91.5076
 120.58100961 | 401330.0 |     91.5162
120.581690732 | 401452.0 |      91.553
120.582371954 | 401441.0 |     91.5149
120.583053076 | 401421.0 |      91.541
120.583734098 | 401292.0 |     91.4993
 120.58441522 | 401454.0 |     91.5299
120.585096442 | 401362.0 |     91.5277
120.585777564 | 401429.0 |     91.5282
120.586458685 | 401441.0 |      91.529
120.587139907 | 401236.0 |      91.507
120.587821029 | 401329.0 |     91.5182
120.588502151 | 401322.0 |     91.5328
120.589183273 | 401357.0 |     91.5202
120.589864395 | 401390.0 |     91.5401
120.590545517 | 401289.0 |     91.5123
120.591226739 | 401398.0 |     91.5395
120.591907861 | 401429.0 |     91.5259
120.592588983 | 401374.0 |     91.5236
120.593270204 | 401308.0 |     91.5164
120.593951326 | 401237.0 |     91.5077
120.594632348 | 401374.0 |     91.5323
 120.59531357 | 401208.0 |     91.5068
120.595994692 | 401188.0 |     91.5106
120.596675814 | 401516.0 |     91.5756
120.597357036 | 401257.0 |     91.5106
120.598038158 | 401566.0 |     91.5395
 120.59871938 | 401181.0 |     91.5031
120.599400502 | 401423.0 |     91.5276
120.600081523 | 401337.0 |     91.5186
120.600762645 | 401329.0 |     91.5172
120.601443867 | 401508.0 |     91.5347
120.602124989 | 401265.0 |     91.5127
120.602806211 | 401231.0 |      91.509
120.603487333 | 401201.0 |     91.5051
120.604168455 | 401333.0 |     91.5158
120.604849577 | 401346.0 |     91.5191
120.605530799 | 401348.0 |     91.5225
 120.60621182 | 401270.0 |     91.5106
120.606892942 | 401363.0 |     91.5209
120.607574164 | 401401.0 |     91.5238
120.608255286 | 401234.0 |     91.5087
120.608936408 | 401185.0 |     91.5056
 120.60961763 | 401225.0 |     91.5215
120.610298752 | 401317.0 |     91.5174
120.610979874 | 401401.0 |     91.5266
120.611660896 | 401421.0 |     91.5257
120.612342118 | 401419.0 |     91.5265
120.613023239 | 401422.0 |      91.519
120.613704361 | 401432.0 |     91.5279
120.614385583 | 401315.0 |     91.5155
120.615066705 | 401303.0 |     91.5298
120.615747827 | 401391.0 |     91.5241
120.616429049 | 401491.0 |     91.5316
120.617110071 | 401422.0 |     91.5284
120.617791193 | 401312.0 |     91.5169
120.618472415 | 401514.0 |     91.5362
120.619153536 | 400858.0 |     91.5284
120.619834658 | 401294.0 |     91.5143
 120.62051588 | 401384.0 |     91.5203
120.621197002 | 401251.0 |     91.5105
120.621878124 | 401298.0 |     91.5154
120.622559146 | 401287.0 |     91.5124
120.623240368 | 401405.0 |      91.524
 120.62392149 | 401453.0 |     91.5276
120.624602712 | 401322.0 |     91.5168
120.625283834 | 401445.0 |     91.5283
120.625964955 | 401385.0 |     91.5241
120.626646177 | 401274.0 |     91.4979
120.627327299 | 401415.0 |     91.5258
120.628008321 | 401479.0 |     91.5326
120.628689543 | 401393.0 |     91.5251
120.629370665 | 401048.0 |     91.4905
120.630051787 | 401353.0 |     91.5212
120.630733009 | 401349.0 |     91.5181
120.631414131 | 401289.0 |     91.5166
120.632095253 | 401388.0 |     91.5263
120.632776474 | 401296.0 |     91.5146
120.633457496 | 401364.0 |      91.522
120.634138618 | 401374.0 |     91.5204
 120.63481984 | 401336.0 |     91.5182
120.635500962 | 401284.0 |      91.513
120.636182084 | 401283.0 |     91.5129
120.636863306 | 401414.0 |      91.528
120.637544428 | 401172.0 |     91.5028
 120.63822555 | 401285.0 |     91.5136
120.638906571 | 401419.0 |     91.5268
120.639587793 | 401402.0 |     91.5257
120.640268915 | 401308.0 |     91.5173
120.640950037 | 401384.0 |     91.5234
120.641631259 | 401209.0 |     91.5051
120.642312381 | 401409.0 |     91.5348
120.642993503 | 401359.0 |     91.5206
120.643674725 | 401243.0 |     91.5093
120.644355747 | 401460.0 |     91.5303
120.645036869 | 401422.0 |     91.5107
 120.64571809 | 401414.0 |     91.5246
120.646399212 | 401431.0 |     91.5268
120.647080334 | 401319.0 |     91.5172
120.647761456 | 401167.0 |     91.4927
120.648442678 | 401378.0 |     91.5233
  120.6491238 | 401413.0 |     91.5266
120.649804822 | 401264.0 |     91.5112
120.650486044 | 401249.0 |     91.5087
120.651167166 | 401376.0 |     91.5225
120.651848287 | 401098.0 |     91.4947
120.652529509 | 401652.0 |     91.5492
120.653210631 | 401300.0 |     91.5151
120.653891853 | 401233.0 |      91.509
120.654572975 | 401327.0 |     91.5175
120.655253997 | 401368.0 |     91.5239
120.655935119 | 401360.0 |     91.5199
120.656616341 | 401434.0 |     91.5288
120.657297463 | 401379.0 |     91.5245
120.657978685 | 401291.0 |     91.5146
120.658659806 | 401231.0 |     91.5085
120.659340928 | 401252.0 |     91.5118
 120.66002215 | 401340.0 |     91.5194
120.660703172 | 401334.0 |     91.5189
120.661384294 | 401188.0 |     91.5044
120.662065416 | 401317.0 |     91.5146
120.662746638 | 401381.0 |     91.5236
 120.66342776 | 401384.0 |     91.5241
120.664108882 | 401363.0 |     91.5212
120.664790103 | 401226.0 |     91.5059
120.665471225 | 401138.0 |     91.4993
120.666152247 | 401379.0 |     91.5211
120.666833469 | 401752.0 |     91.5992
120.667514591 | 401389.0 |      91.524
120.668195713 | 401542.0 |     91.5379
120.668876935 | 401294.0 |     91.5151
120.669558057 | 401303.0 |     91.5154
120.670239179 | 401336.0 |     91.5193
  120.6709204 | 401266.0 |     91.5123
120.671601422 | 401227.0 |     91.5094
