BJD(TDB)-2450000,Flux,Error,,Detrended Spitzer light curve for 19 September - 10 October 2016
7650.847411,0.999302,0.001061,,
7650.848897,0.999472,0.000916,,
7650.850389,0.998964,0.000908,,
7650.851887,1.000453,0.000952,,
7650.853395,1.000598,0.000978,,
7650.854888,1.00031,0.001254,,
7650.856382,1.000613,0.001059,,
7650.857874,1.000842,0.000951,,
7650.859384,0.999338,0.000961,,
7650.860888,0.999986,0.000987,,
7650.862383,1.000259,0.000962,,
7650.863871,0.998691,0.000947,,
7650.865365,1.000273,0.001027,,
7650.866873,1.000331,0.000986,,
7650.868357,1.001584,0.000961,,
7650.869867,1.000624,0.00098,,
7650.871365,0.998881,0.001067,,
7650.872857,1.000237,0.00111,,
7650.874356,1.000227,0.000923,,
7650.875847,0.998473,0.000943,,
7650.877361,1.001482,0.00098,,
7650.878829,1.000191,0.00108,,
7650.880346,1.000007,0.001134,,
7650.881829,0.999502,0.001209,,
7650.883352,0.998954,0.001011,,
7650.884839,0.999459,0.000928,,
7650.886337,1.000664,0.000952,,
7650.887835,0.999693,0.000976,,
7650.889325,1.000432,0.001004,,
7650.890823,0.999788,0.001028,,
7650.892331,0.999749,0.001078,,
7650.893816,0.998787,0.000937,,
7650.895329,0.999264,0.00103,,
7650.896822,0.99933,0.000965,,
7650.89832,0.999431,0.000879,,
7650.899802,0.998997,0.000987,,
7650.901334,0.999282,0.001155,,
7650.902813,1.000557,0.000992,,
7650.904326,1.00113,0.001002,,
7650.905813,1.000081,0.00103,,
7650.907324,0.998914,0.001042,,
7650.908818,0.999442,0.001121,,
7650.910302,0.996337,0.00095,,
7650.911808,0.993109,0.000833,,
7650.913285,0.992877,0.000966,,
7650.914796,0.992475,0.000865,,
7650.916294,0.992093,0.001041,,
7650.917783,0.991869,0.000999,,
7650.919291,0.992894,0.001086,,
7650.920787,0.991161,0.001075,,
7650.922285,0.992792,0.001046,,
7650.923788,0.992187,0.001139,,
7650.925281,0.993005,0.00105,,
7650.92678,0.991854,0.001062,,
7650.928275,0.992315,0.001116,,
7650.929781,0.992943,0.001118,,
7650.931288,0.992018,0.000886,,
7650.932771,0.994422,0.000863,,
7650.934267,0.992785,0.001023,,
7650.93577,0.992806,0.000978,,
7650.937284,0.99553,0.001055,,
7650.938752,0.998845,0.001008,,
7650.940255,0.999322,0.00105,,
7650.941751,0.998807,0.001126,,
7650.943254,0.999286,0.001073,,
7650.944745,0.998666,0.001063,,
7650.946263,1.001223,0.001008,,
7650.947767,1.001182,0.000878,,
7650.949252,0.99903,0.001103,,
7650.950727,0.999187,0.000883,,
7650.952241,0.999546,0.000982,,
7650.953727,1.000408,0.001065,,
7650.955244,0.999907,0.001059,,
7650.95677,1.00085,0.001034,,
7650.958226,0.999142,0.000941,,
7650.959767,1.000224,0.000954,,
7650.961227,0.999743,0.001069,,
7650.962717,0.998978,0.001073,,
7650.964224,1.000369,0.001035,,
7650.965722,1.001079,0.000933,,
7650.967232,0.999725,0.000864,,
7650.968717,1.001618,0.000917,,
7650.97021,0.999708,0.000981,,
7650.971702,1.001648,0.00105,,
7650.973211,1.001233,0.000909,,
7650.974709,0.999698,0.000991,,
7650.97621,1.000593,0.000939,,
7650.977708,1.000041,0.001038,,
7650.979215,1.000475,0.000799,,
7650.9807,0.999659,0.000941,,
7650.982198,0.999708,0.001101,,
7650.983711,1.000935,0.000806,,
7650.985184,0.999648,0.00126,,
7650.986692,1.000562,0.001171,,
7650.98819,1.000304,0.000755,,
7650.989677,1.001077,0.000959,,
7650.991189,0.999973,0.001076,,
7650.992664,1.00095,0.00129,,
7650.994191,1.000711,0.001111,,
7650.995671,1.000342,0.000964,,
7650.997168,0.999905,0.001078,,
7650.998689,1.001642,0.001121,,
7651.000177,0.999141,0.000887,,
7651.001677,0.999891,0.000963,,
7651.003168,1.000726,0.001088,,
7651.004673,1.00087,0.001057,,
7651.006158,1.000213,0.00105,,
7651.007667,0.999326,0.000991,,
7651.009176,1.001024,0.000824,,
7651.010669,0.998716,0.001111,,
7651.01216,1.000943,0.001133,,
7651.013654,1.00014,0.001041,,
7651.01515,1.000888,0.001005,,
7651.01665,0.998897,0.000953,,
7651.018146,0.999538,0.001077,,
7651.019651,0.998935,0.000997,,
7651.021146,0.998431,0.001013,,
7651.022639,0.999464,0.000986,,
7651.02414,0.999351,0.00082,,
7651.025635,0.999233,0.001112,,
7651.02713,0.99997,0.000965,,
7651.028642,1.002077,0.000956,,
7651.030153,1.001311,0.001027,,
7651.031632,1.000013,0.000999,,
7651.033128,0.999624,0.000955,,
7651.034626,0.998968,0.000964,,
7651.036151,1.000658,0.001047,,
7651.037625,1.000364,0.001021,,
7651.0391,0.999847,0.001006,,
7651.040615,1.001034,0.000903,,
7651.042101,1.000809,0.000977,,
7651.043603,1.000963,0.001053,,
7651.045102,1.001368,0.000925,,
7651.046596,1.000559,0.000872,,
7651.048111,1.000465,0.001047,,
7651.049591,1.001325,0.00102,,
7651.051098,0.999784,0.000966,,
7651.052576,0.999155,0.001051,,
7651.05409,0.999396,0.000857,,
7651.055583,1.000705,0.000933,,
7651.05709,0.999935,0.000923,,
7651.058589,1.000281,0.000889,,
7651.06009,1.001544,0.00164,,
7651.061596,0.999134,0.001174,,
7651.063097,0.999586,0.001062,,
7651.06459,1.000398,0.000944,,
7651.066076,1.000021,0.0009,,
7651.067574,0.99922,0.000865,,
7651.069083,0.999024,0.001,,
7651.07057,0.999236,0.000939,,
7651.072067,1.000453,0.00096,,
7651.073564,1.000616,0.001032,,
7651.075072,1.000444,0.000874,,
7651.076564,1.001072,0.000986,,
7651.078037,1.00021,0.00104,,
7651.079567,0.999814,0.000881,,
7651.081036,1.000061,0.000938,,
7651.082534,0.999293,0.001098,,
7651.084046,0.998857,0.00098,,
7651.085548,0.999708,0.000948,,
7651.087047,1.001168,0.000966,,
7651.088525,0.999809,0.00103,,
7651.090039,0.999535,0.000882,,
7651.09154,1.001192,0.001124,,
7651.093048,0.998154,0.000881,,
7651.094541,1.000039,0.000908,,
7651.096057,0.999431,0.000915,,
7651.097546,1.000384,0.000883,,
7651.099028,0.999742,0.000832,,
7651.100526,1.000219,0.000934,,
7651.102046,1.000614,0.00097,,
7651.103511,0.99993,0.001031,,
7651.105024,1.000379,0.001083,,
7651.106517,1.000728,0.000974,,
7651.108006,0.999921,0.000973,,
7651.109516,1.001342,0.000947,,
7651.111024,0.998012,0.00099,,
7651.112518,1.000037,0.001112,,
7651.114017,1.00122,0.001016,,
7651.115505,0.999418,0.001191,,
7651.117002,0.999709,0.000883,,
7651.1185,1.000162,0.001069,,
7651.119996,0.999839,0.001032,,
7651.121502,0.999047,0.000982,,
7651.122994,0.999876,0.001017,,
7651.124484,0.997897,0.000869,,
7651.125995,0.999634,0.000956,,
7651.127491,0.999115,0.00111,,
7651.12901,1.002242,0.001122,,
7651.130497,1.001236,0.000976,,
7651.131976,1.00075,0.001083,,
7651.133488,0.99897,0.000988,,
7651.134976,1.000305,0.001021,,
7651.136474,1.000649,0.000945,,
7651.13797,0.998562,0.000967,,
7651.13947,0.99861,0.001049,,
7651.140991,1.000232,0.000999,,
7651.142463,0.999536,0.001423,,
7651.143967,1.000151,0.001147,,
7651.145463,0.99953,0.000907,,
7651.146959,1.001384,0.000963,,
7651.148459,0.999271,0.000878,,
7651.149986,1.000841,0.001021,,
7651.151452,1.001035,0.000936,,
7651.15295,1.001398,0.001079,,
7651.154471,0.999658,0.001088,,
7651.155952,0.99952,0.001204,,
7651.157444,1.000695,0.000902,,
7651.158949,0.999802,0.001101,,
7651.160436,1.000555,0.001073,,
7651.161937,1.001021,0.000861,,
7651.163449,1.000935,0.000925,,
7651.164933,1.00019,0.000864,,
7651.166431,0.999859,0.001059,,
7651.167917,0.999719,0.000937,,
7651.169438,1.000121,0.001018,,
7651.170924,1.001034,0.001095,,
7651.172413,0.999771,0.001039,,
7651.173932,0.999953,0.000983,,
7651.175439,1.00012,0.000923,,
7651.176936,0.999162,0.00103,,
7651.178416,0.99965,0.00098,,
7651.179889,0.99941,0.00089,,
7651.181403,1.001263,0.001114,,
7651.182891,1.000619,0.00078,,
7651.184404,1.000305,0.000906,,
7651.18592,1.000863,0.000893,,
7651.1874,1.000361,0.001119,,
7651.18889,1.000322,0.001263,,
7651.190401,0.999474,0.000934,,
7651.191894,0.998333,0.000916,,
7651.193391,0.999665,0.000959,,
7651.194884,0.999051,0.000948,,
7651.196392,0.999723,0.001005,,
7651.197864,0.998678,0.001037,,
7651.199383,0.999598,0.000942,,
7651.200881,1.000231,0.000958,,
7651.202381,1.00079,0.00119,,
7651.203876,0.999283,0.001083,,
7651.205381,0.99998,0.000975,,
7651.206893,1.000883,0.001204,,
7651.20837,0.999635,0.000816,,
7651.209903,1.001067,0.001088,,
7651.211366,1.000546,0.001126,,
7651.212858,1.000296,0.000926,,
7651.21436,0.999941,0.000999,,
7651.215859,0.999869,0.000945,,
7651.217356,1.000602,0.000886,,
7651.218855,0.999467,0.000996,,
7651.220357,1.000591,0.001092,,
7651.22186,1.00028,0.001044,,
7651.223349,1.001659,0.000978,,
7651.224849,0.999292,0.00094,,
7651.226345,0.999292,0.001014,,
7651.227842,0.999421,0.001009,,
7651.229323,0.999843,0.001092,,
7651.230847,1.000705,0.001047,,
7651.232335,0.999959,0.000991,,
7651.233844,0.999951,0.000914,,
7651.235317,0.999793,0.000833,,
7651.236829,0.998974,0.000974,,
7651.238328,0.999107,0.001153,,
7651.239828,0.99899,0.001058,,
7651.241316,1.000174,0.00093,,
7651.242814,0.999637,0.001016,,
7651.244318,0.998756,0.001015,,
7651.245815,0.999429,0.001041,,
7651.247329,1.001835,0.000939,,
7651.24879,0.999819,0.000906,,
7651.250321,0.999751,0.000894,,
7651.251807,0.999753,0.000984,,
7651.253327,1.001624,0.001096,,
7651.254807,1.000974,0.000954,,
7651.256312,1.001282,0.000935,,
7651.257798,0.999266,0.000998,,
7651.259296,0.999291,0.00098,,
7651.260806,0.999497,0.001195,,
7651.262291,1.000393,0.001059,,
7651.263789,0.99975,0.001022,,
7651.265284,0.998789,0.00094,,
7651.266766,0.999692,0.000862,,
7651.268283,0.999622,0.001081,,
7651.269792,0.99965,0.000939,,
7651.27128,0.998739,0.001039,,
7651.27278,1.000134,0.000909,,
7651.274286,1.000502,0.00107,,
7651.27579,0.99952,0.000993,,
7651.277291,0.999425,0.000944,,
7651.278768,0.999653,0.001077,,
7651.280266,1.001872,0.000992,,
7651.281763,1.001381,0.000959,,
7651.283258,0.999992,0.000938,,
7651.284756,0.999798,0.000927,,
7651.286257,1.00151,0.00101,,
7651.287752,1.000532,0.000862,,
7651.289252,1.000414,0.00093,,
7651.29075,1.000301,0.001153,,
7651.292248,1.000468,0.001047,,
7651.293746,1.000152,0.001001,,
7651.295244,1.000336,0.00093,,
7651.296726,0.998243,0.001071,,
7651.298239,0.998972,0.001,,
7651.299733,0.999813,0.000971,,
7651.301238,0.999939,0.001006,,
7651.302733,0.999776,0.001014,,
7651.304223,0.998644,0.001072,,
7651.305739,1.000433,0.000838,,
7651.307232,0.998944,0.001075,,
7651.308724,1.001075,0.000973,,
7651.310221,0.99978,0.000982,,
7651.31172,1.000596,0.000949,,
7651.313208,1.000359,0.001269,,
7651.314727,0.99842,0.001,,
7651.316225,0.998338,0.000913,,
7651.317713,1.001051,0.000829,,
7651.319209,1.000537,0.000947,,
7651.320704,0.999417,0.001101,,
7651.322225,0.999857,0.000901,,
7651.323713,0.999147,0.001197,,
7651.325189,1.000606,0.001057,,
7651.326694,0.9992,0.001008,,
7651.328196,1.000346,0.001015,,
7651.329696,1.001084,0.001081,,
7651.331203,0.998972,0.000806,,
7651.332684,0.998907,0.000954,,
7651.334196,0.999959,0.001097,,
7651.335687,0.999939,0.000924,,
7651.337183,1.000096,0.001141,,
7651.338679,0.999686,0.000848,,
7651.340195,0.999014,0.000994,,
7651.341685,0.999428,0.001122,,
7651.343174,1.000392,0.000986,,
7651.344665,1.000412,0.000897,,
7651.34618,0.999802,0.000934,,
7651.34767,1.000292,0.001087,,
7651.34916,1.000391,0.000857,,
7651.350657,1.001097,0.001193,,
7651.352165,0.998586,0.000968,,
7651.353653,1.001287,0.001115,,
7651.355169,1.000401,0.001085,,
7651.356642,1.000283,0.001157,,
7651.358152,0.999179,0.000983,,
7651.35965,0.999805,0.000874,,
7651.361146,0.998266,0.000959,,
7651.362635,0.999753,0.000951,,
7651.364144,1.000251,0.000918,,
7651.36564,1.000704,0.001056,,
7651.36713,0.998988,0.000901,,
7651.368628,1.001369,0.001053,,
7651.370136,0.999838,0.001103,,
7651.37164,0.998243,0.000988,,
7651.373141,1.000176,0.000928,,
7651.37463,1.001252,0.001005,,
7651.37612,0.99987,0.00093,,
7651.377625,1.000355,0.001019,,
7651.379124,1.000926,0.001089,,
7651.380621,0.999963,0.000938,,
7651.382119,1.001787,0.000945,,
7651.383625,0.999025,0.001089,,
7651.385121,0.999304,0.001024,,
7651.386613,0.999915,0.000946,,
7651.38811,0.999776,0.001155,,
7651.389608,1.000725,0.000979,,
7651.391106,1.000758,0.001143,,
7651.392593,0.998933,0.001094,,
7651.394102,0.999007,0.00108,,
7651.395599,0.999695,0.001096,,
7651.397058,0.999939,0.001048,,
7651.398586,1.000499,0.000968,,
7651.400093,0.998297,0.000785,,
7651.401601,1.000142,0.001084,,
7651.4031,1.000415,0.000972,,
7651.404586,0.999686,0.001011,,
7651.406084,1.00035,0.000929,,
7651.407591,1.001028,0.000823,,
7651.409088,0.998011,0.001073,,
7651.410574,0.999891,0.001083,,
7651.412084,1.00033,0.000914,,
7651.413573,0.999115,0.000982,,
7651.415075,1.000106,0.000958,,
7651.416589,0.999869,0.001008,,
7651.418056,1.000949,0.001203,,
7651.419571,1.002296,0.000982,,
7651.421062,1.000838,0.000996,,
7651.424059,1.000191,0.001216,,
7651.425567,1.000305,0.001006,,
7651.427053,1.000056,0.001011,,
7651.428572,1.000729,0.000938,,
7651.430044,1.00016,0.001025,,
7651.431548,1.002016,0.000886,,
7651.433038,0.998863,0.001063,,
7651.434537,0.99916,0.000972,,
7651.436036,1.000525,0.001013,,
7651.437538,0.999805,0.000844,,
7651.439051,0.999903,0.000991,,
7651.440544,0.998665,0.001046,,
7651.442032,1.000304,0.0009,,
7651.44352,1.000084,0.000978,,
7651.445019,0.998709,0.000856,,
7651.446526,0.998724,0.001022,,
7651.44802,0.999095,0.001102,,
7651.44953,1.000395,0.000897,,
7651.451021,0.999108,0.000976,,
7651.452523,1.000327,0.000991,,
7651.454015,0.998123,0.001041,,
7651.455512,1.0004,0.001125,,
7651.45701,0.998653,0.000938,,
7651.458499,0.999701,0.001023,,
7651.460029,1.000567,0.001063,,
7651.461502,0.9996,0.001033,,
7651.463009,0.999588,0.000987,,
7651.464511,0.999217,0.001007,,
7651.465997,0.998487,0.00096,,
7651.467499,1.001017,0.001049,,
7651.469001,1.000029,0.000944,,
7651.470499,1.000692,0.001016,,
7651.471997,1.000994,0.000976,,
7651.473486,1.000751,0.001095,,
7651.474988,0.99984,0.001085,,
7651.476483,0.998714,0.000909,,
7651.477979,1.001839,0.00087,,
7651.479496,0.999524,0.00088,,
7651.480975,1.000107,0.000921,,
7651.482489,0.999291,0.001059,,
7651.483972,0.998972,0.001097,,
7651.485478,1.001019,0.001001,,
7651.486959,1.000123,0.00091,,
7651.488465,0.99759,0.001019,,
7651.489962,1.000927,0.000882,,
7651.491461,0.999688,0.000954,,
7651.492958,0.999776,0.000976,,
7651.494456,0.999282,0.000973,,
7651.49595,0.99988,0.001026,,
7651.497439,0.999396,0.001023,,
7651.49895,1.000714,0.000951,,
7651.500447,1.001024,0.000997,,
7651.501945,0.99844,0.000997,,
7651.503432,1.001383,0.001069,,
7651.50494,0.999814,0.001136,,
7651.506449,0.999753,0.000905,,
7651.507936,1.000077,0.00106,,
7651.509433,1.000793,0.000921,,
7651.510926,1.001297,0.00098,,
7651.51243,1.0002,0.000951,,
7651.513928,1.000884,0.000993,,
7651.515436,0.999955,0.001013,,
7651.516932,0.999688,0.000845,,
7651.518421,1.000041,0.00094,,
7651.519919,1.000448,0.000984,,
7651.521418,1.001296,0.000898,,
7651.522916,0.998886,0.000807,,
7651.524412,0.998128,0.000898,,
7651.525912,1.000858,0.001015,,
7651.527408,1.000844,0.000919,,
7651.528897,1.000489,0.001001,,
7651.53041,0.998284,0.001022,,
7651.531894,1.000412,0.000908,,
7651.533399,0.999775,0.000982,,
7651.534889,1.0008,0.001093,,
7651.536396,0.999147,0.000918,,
7651.537892,0.999898,0.000994,,
7651.539392,1.001705,0.001081,,
7651.540888,1.000797,0.000961,,
7651.542394,1.000184,0.001109,,
7651.543892,0.999586,0.000954,,
7651.545381,0.999766,0.001031,,
7651.546889,0.999457,0.000897,,
7651.548377,0.998824,0.00113,,
7651.549875,0.999857,0.001052,,
7651.551374,1.000757,0.000954,,
7651.552881,0.999521,0.000783,,
7651.554378,1.001319,0.001339,,
7651.555858,0.999268,0.001131,,
7651.557357,0.999965,0.000999,,
7651.558878,1.000978,0.000892,,
7651.56036,0.999296,0.000852,,
7651.561862,1.000313,0.000994,,
7651.563373,1.000365,0.001057,,
7651.564858,0.99894,0.000929,,
7651.56636,1.000183,0.001007,,
7651.567844,1.000221,0.00094,,
7651.569345,1.000214,0.000806,,
7651.570841,0.999885,0.0009,,
7651.572334,0.999545,0.000929,,
7651.573848,1.000054,0.001048,,
7651.575338,0.999713,0.000954,,
7651.576848,1.000189,0.001033,,
7651.578343,0.999668,0.000945,,
7651.579827,1.000338,0.00113,,
7651.581342,1.00143,0.001108,,
7651.582813,1.000344,0.001128,,
7651.584325,0.998643,0.001063,,
7651.585823,0.99984,0.001047,,
7651.587321,1.000968,0.001054,,
7651.58882,1.00062,0.00082,,
7651.590304,1.000178,0.000898,,
7651.591814,0.999407,0.001002,,
7651.593312,0.998918,0.000976,,
7651.59481,0.999227,0.001073,,
7651.596329,0.998022,0.001137,,
7651.5978,1.000821,0.000995,,
7651.599304,0.999743,0.000926,,
7651.600808,1.000182,0.000948,,
7651.602294,1.001106,0.001008,,
7651.603786,1.000404,0.001119,,
7651.605302,1.00055,0.001066,,
7651.606777,0.998307,0.001,,
7651.608287,1.000192,0.001212,,
7651.609788,1.00039,0.001106,,
7651.61128,0.999702,0.000919,,
7651.612784,1.000367,0.000981,,
7651.614284,0.999863,0.000996,,
7651.615787,1.000069,0.000995,,
7651.617277,0.999737,0.000935,,
7651.618776,1.00099,0.000941,,
7651.620274,1.000372,0.001039,,
7651.62179,0.999984,0.001082,,
7651.623269,0.998135,0.001063,,
7651.624762,1.000332,0.000933,,
7651.62627,1.000176,0.001016,,
7651.627762,0.999594,0.000957,,
7651.62926,0.999104,0.001006,,
7651.630757,1.000275,0.001049,,
7651.632251,0.999844,0.001072,,
7651.633758,0.999897,0.001133,,
7651.635251,0.999311,0.001061,,
7651.636772,1.000373,0.00107,,
7651.638247,0.999028,0.001043,,
7651.639754,0.999681,0.001111,,
7651.641249,1.000002,0.000929,,
7651.642741,1.001281,0.001218,,
7651.644238,1.00017,0.000885,,
7651.645736,0.999965,0.000952,,
7651.647234,0.999939,0.000888,,
7651.648734,1.001012,0.001067,,
7651.650231,0.999462,0.001123,,
7651.65173,0.999596,0.001171,,
7651.653216,1.001062,0.001468,,
7651.654723,1.000037,0.001024,,
7651.656218,1.000832,0.000927,,
7651.657726,1.000272,0.000948,,
7651.659227,1.001221,0.001031,,
7651.660711,0.999847,0.001013,,
7651.662218,1.002005,0.000999,,
7651.663727,1.002759,0.000964,,
7651.665208,0.999782,0.000875,,
7651.666701,1.00022,0.001028,,
7651.668209,1.000336,0.001126,,
7651.669696,0.999479,0.001016,,
7651.831426,1.001049,0.001225,,
7651.832903,0.9991,0.00112,,
7651.83441,0.998695,0.001131,,
7651.835907,1.000558,0.001073,,
7651.837399,0.999581,0.001028,,
7651.838897,0.999,0.001237,,
7651.8404,1.001768,0.001342,,
7651.841899,1.000084,0.001166,,
7651.843398,1.000082,0.001156,,
7651.844894,0.999998,0.001106,,
7651.846392,0.999418,0.001077,,
7651.847889,0.999611,0.001161,,
7651.849389,0.998499,0.001054,,
7651.850886,0.997987,0.001233,,
7651.852383,0.999986,0.001049,,
7651.853881,1.001728,0.001067,,
7651.855379,0.99997,0.001251,,
7651.856877,1.002062,0.00113,,
7651.858374,0.999184,0.00102,,
7651.859872,1.001286,0.001262,,
7651.86137,1.001183,0.001282,,
7651.862879,0.999324,0.001161,,
7651.864366,1.000267,0.001194,,
7651.865864,1.000527,0.001249,,
7651.867361,1.000222,0.001309,,
7651.868859,1.000248,0.001139,,
7651.870357,0.998885,0.000973,,
7651.871856,0.99961,0.001191,,
7651.873352,1.000397,0.001199,,
7651.87485,0.999987,0.001151,,
7651.876348,0.994733,0.001253,,
7651.877846,0.992155,0.001004,,
7651.879345,0.992042,0.001142,,
7651.880843,0.991299,0.001402,,
7651.882339,0.991328,0.00128,,
7651.883837,0.992041,0.001219,,
7651.885335,0.991876,0.00114,,
7651.886834,0.9914,0.001129,,
7651.888331,0.990596,0.000987,,
7651.889829,0.991743,0.00115,,
7651.891328,0.992869,0.000969,,
7651.892824,0.991279,0.001246,,
7651.894323,0.992813,0.001101,,
7651.89582,0.991062,0.001257,,
7651.897318,0.992521,0.001201,,
7651.898809,0.995992,0.001219,,
7651.900313,0.999877,0.000955,,
7651.901812,0.999059,0.000969,,
7651.903309,0.999553,0.001064,,
7651.904807,0.999468,0.0012,,
7651.906305,1.000007,0.001087,,
7651.907813,0.99949,0.001318,,
7651.909301,1.002882,0.001618,,
7651.910798,1.000184,0.001168,,
7651.912296,1.000383,0.001394,,
7651.913794,0.999528,0.001117,,
7651.915292,1.000753,0.001062,,
7651.91679,0.999974,0.000948,,
7651.918287,0.999584,0.001114,,
7651.919785,1.000143,0.001219,,
7651.921283,1.001002,0.001224,,
7651.922781,1.000734,0.00101,,
7651.924279,0.9996,0.001098,,
7651.925778,1.000167,0.00112,,
7651.927275,0.999511,0.001241,,
7651.928773,0.999758,0.001259,,
7651.930271,1.000993,0.000967,,
7651.931769,1.000797,0.001246,,
7651.93326,0.999099,0.001205,,
7651.934763,0.999355,0.001169,,
7651.936262,1.000508,0.001157,,
7651.93776,1.00046,0.001119,,
7651.939258,0.998235,0.001192,,
7651.940753,1.000593,0.001133,,
7651.942254,1.001218,0.001175,,
7651.943751,0.99877,0.001231,,
7651.945249,1.00024,0.001387,,
7651.946747,0.999371,0.001022,,
7651.948252,1.00087,0.001093,,
7651.949745,1.000837,0.001052,,
7651.951243,0.999422,0.001203,,
7651.952738,0.998777,0.001189,,
7651.954232,1.000625,0.001074,,
7651.955749,0.9997,0.001237,,
7651.957226,1.000266,0.001237,,
7651.958727,1.001647,0.001137,,
7651.960227,0.99982,0.001108,,
7651.961759,1.000603,0.001279,,
7651.963223,0.998948,0.001291,,
7651.964721,0.999362,0.001009,,
7651.966219,0.999812,0.001017,,
7651.967717,1.001174,0.001202,,
7651.96921,0.999506,0.001265,,
7651.970713,0.999124,0.001223,,
7651.97221,1.001755,0.001172,,
7651.973702,0.998394,0.001142,,
7651.975219,0.999785,0.001266,,
7651.976702,0.9995,0.001329,,
7651.97819,0.998907,0.00126,,
7651.979701,1.001667,0.001053,,
7651.981214,1.000002,0.001289,,
7651.982706,1.000048,0.001119,,
7651.984191,1.000196,0.00104,,
7651.985688,0.999199,0.001104,,
7651.987186,0.999957,0.00109,,
7651.98869,0.999216,0.001114,,
7651.990176,0.999088,0.001172,,
7651.991673,0.999528,0.001179,,
7651.99318,0.998924,0.001313,,
7651.994678,0.999195,0.001093,,
7651.996175,0.998864,0.001198,,
7651.997671,0.998895,0.001238,,
7651.999175,1.000873,0.001432,,
7652.000688,1.000599,0.001132,,
7652.002167,0.999108,0.00109,,
7652.003678,1.001838,0.001081,,
7652.005162,1.000926,0.001157,,
7652.00666,1.000346,0.001243,,
7652.008158,1.001106,0.001278,,
7652.009656,1.00005,0.001226,,
7652.011139,1.001154,0.001187,,
7652.012647,1.000263,0.001125,,
7652.014149,1.000898,0.001225,,
7652.015647,0.999873,0.001208,,
7652.017145,0.999536,0.001025,,
7652.018643,1.000041,0.001146,,
7652.020141,0.999741,0.00111,,
7652.021646,1.000851,0.001237,,
7652.023137,1.000034,0.001223,,
7652.024631,0.998615,0.001141,,
